,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
5057,Sydney perguntou se ela poderia vir junto no passeio de barco.,Sydney perguntou se poderia vir na travessia do barco.,A Sydney perguntou se podia ir no passeio de barco.,Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,como Sydney deve dirigir o barco,como Sydney deve conduzir o barco,Como se Sydney conduzisse o barco.,Como se a viagem não fosse divertida,como a viagem não será divertida,Como se a viagem não fosse divertida.,como eles precisam para fazer mais espaço,como eles precisam fazer mais espaço,Como se precisassem de mais espaço.,C
5058,"Riley estava andando de bicicleta Sasha'a ao redor da rua e, de repente, Riley caiu da bicicleta de Sasha.",Riley estava andando uma bicicleta Sasha'a em torno da rua e depois de repente,A Riley estava a andar de bicicleta com a Sasha na rua e de repente a Riley caiu da bicicleta dela.,O que Riley precisa fazer antes disso?,O que é necessário para que Riley possa fazer antes disso?,O que é que a Riley precisa de fazer antes disto?,Aprenda a dirigir um carro,Aprenda a conduzir um automóvel,aprender a conduzir um carro,Não peça permissão para andar de bicicleta de Sasha,Não solicitar autorização para andar de bicicleta de Sasha,Não pedir permissão para andar na bicicleta do Sasha.,Aprenda a andar de bicicleta,aprender a andar uma bicicleta,Aprenda a andar de bicicleta,C
5059,Jesse disse a Cameron para relaxar para que eles pudessem se divertir assistindo seu filme.,Jesse contou que o Cameron se relaxava para que pudesse ter diversão vendo o filme.,O Jesse disse à Cameron para relaxar para se divertirem a ver o filme.,O que Cameron vai querer fazer a seguir?,O que queremos por Cameron?,O que é que a Cameron vai querer fazer a seguir?,Veja o filme,assistir o filme,Ver o filme,divirta-se,Afecções oculares,Diverte-te,Coloque em um show,apresentação de um espetáculo,- Faça um espectáculo .,A
5060,"A Addison era barista num café local, mudou de emprego sem aviso prévio.","Addison era barista em uma loja de café, mudou de emprego sem aviso.","A Addison era barista num café local, mudou de emprego sem aviso prévio.",Como se sentiria a Addison depois?,Como senti-lo-ia depois?,Como se sentiria a Addison depois?,Obrigado por trabalhar para o café,agradecido por estar trabalhando na cafeicultura,Agradecido por trabalhar no café.,Fico feliz em manter o mesmo emprego,feliz em manter o mesmo emprego,feliz por manter o mesmo emprego,culpado que ela não tinha dado aviso,culpada por não ter dado nota,culpada por não ter dado aviso prévio.,C
5061,Era a música favorita de Kai e eles gostavam de cada vez que ouviam tocar.,Era a canção preferida do Kai e gostava de todas as vezes que ouviam.,Era a música preferida do Kai e eles gostavam sempre que a ouviam tocar.,Como você descreveria Kai?,Como descreveria Kai?,Como descreveria o Kai?,Animado depois,excitado após,excitado depois.,Satisfeito depois,Agradecimentos,"Depois, satisfeito.",Como alguém que gosta da canção,Como alguém que gosta da canção,Como alguém que gosta da música,C
5062,Jordan manteve seu fim da barganha depois que um acordo foi fechado.,Jordan manteve o seu fim de barganha após o acordo ter sido firmado.,Jordan cumpriu a sua parte do acordo depois de um acordo ser alcançado.,Como você descreveria a Jordânia?,Como descreveria a Jordânia?,Como descreveria o Jordan?,Trabalhador,Trabalho duro,trabalhador,feliz que todas as partes chegaram a um acordo,satisfeito com o facto de todas as partes terem alcançado um acordo,Feliz por todas as partes terem chegado a um acordo,um batota,um cheat,um traidor,A
5063,Tracy não sabia nada sobre matemática e percebeu que ia precisar de ajuda.,Tracy não sabia nada sobre a matemática e percebeu que ela ia precisar de ajuda.,A Tracy não sabia nada de matemática e percebeu que precisaria de ajuda.,O que Tracy vai querer fazer a seguir?,O que queremos agora por Tracy?,O que é que a Tracy vai querer fazer a seguir?,Como um amigo,como amigo,Como amigo.,ir para ele sozinho,ná- lo sozinho,Vai sozinho .,Descobrir que eles eram ruins em matemática,descobrir que eles estavam ruins na matemática,descobriram que eram maus em matemática,A
5064,"Alex entrou em uma igreja e começou a atirar nas pessoas, alegando estar administrando a ira do senhor.","Alex caminhou por uma igreja e começou a gritar nas pessoas, alegando estar administrando a","O Alex entrou numa igreja e começou a disparar contra as pessoas, alegando estar a administrar a ira do Senhor.",O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,Fugir da polícia,responsabilidade da polícia,Fugir da polícia,Fuga da polícia,evadir a polícia,Evadir a polícia.,correr e se esconder,run e she,Corra e esconda-se.,C
5065,"O Taylor deu um mimo ao Carson, o Taylor tinha um estoque de doces japoneses.","Taylor deu tratamento a Carson, Taylor tinha uma caixa de candide japonês.",O Taylor deu um deleite ao Carson.,Como Taylor se sentiria depois?,Como senti-lo-ia depois?,Como é que a Taylor se sentiria depois?,um porco doce,um candide,um porco doces,Como uma boa pessoa,como uma pessoa boa,Como uma boa pessoa.,Como uma pessoa má,como uma pessoa ruim,Como uma pessoa má.,B
5066,Kai finalmente fez um touchdown depois de tentar muitas vezes.,Kai finalmente fez um arremesso após tentar muitas vezes.,Kai finalmente fez um touchdown depois de tentar muitas vezes.,Como você descreveria Kai?,Como descreveria Kai?,Como descreveria o Kai?,Comprometida,Compromissado,Compromissos,Orgulhoso depois,orgulha,orgulhoso depois,incapaz,< < < < < < < < < ,incapaz,A
5067,Sydney nunca foi capaz de fazer amigos. Sydney se mudou muito.,"Sydney nunca conseguiu fazer amigos, Sydney se moveu muito.","A Sydney nunca conseguiu fazer amigos, mudou-se muito.",Como se sentiria Sydney depois?,Como senti-lo-ia depois?,Como é que a Sydney se sentiria depois?,um solitário,a loner,Um solitário.,Como tentar fazer amigos,como tentar fazer amigos,Como tentar fazer amigos.,um introvertido,um introvertimento,um introvertido,A
5068,Robin cumpriu seus deveres no trabalho antes do final do turno.,Robin exerceu suas funções no trabalho antes do término do turno.,Robin cumpriu seus deveres no trabalho antes do fim do turno.,O que Robin vai querer fazer a seguir?,O que queremos por Robin?,O que vai querer fazer a seguir?,trabalhar duro,án,Trabalhar duro,deixar o trabalho,licença de trabalho,deixar o trabalho,ir para o trabalho,ir trabalhar,Vai trabalhar.,B
5069,Addison fez café para o grupo e discutiu o plano.,Addison fez café para o grupo e discutiu o plano.,Addison fez café para o grupo e discutiu o plano.,O que Addison vai querer fazer a seguir?,O que queremos com Addison?,O que é que a Addison vai querer fazer a seguir?,conflituosos,Controle,conflitantes,Mantenha as pessoas atualizadas,até à data,Informar as pessoas,inteligente,smart,inteligente,B
5070,Ash estava dirigindo pelo deserto e viu o primeiro posto de gasolina por 50 milhas. Ash colocou um pouco de combustível no carro.,Ash estava dirigindo pelo deserto e viu a primeira estação de gás por 50 milhas. Ash colocou algum,Ash estava a conduzir pelo deserto e viu a primeira bomba de gasolina a 80 km.,Por que Ash fez isso?,Por que o Ash fez isso?,Porque é que o Ash fez isto?,Certifique-se de que ela não ficou sem gasolina,garantir que não saiu de gás,Certifique-se de que ela não tenha acabado de gasolina.,Coloque a chave na ignição e desligue,coloque a chave na ignição e desligue,Põe a chave no arranque e vai-te embora .,Volte para o carro,voltar a andar no carro,Volta para o carro.,A
5071,Quinn participou de sua reunião de negócios que estava no restaurante buffet chinês.,Quinn participou de sua reunião de negócios que estava no restaurante de café chinês.,Quinn participou da reunião de negócios que foi no restaurante buffet chinês.,Como Quinn se sentiria depois?,Como se sentiria Quinn depois?,Como se sentiria o Quinn depois?,Sentiu-se muito satisfeito com a comida da reunião,sentir-se muito satisfeito com a comida a partir do encontro,sentiu-se muito satisfeito com a comida da reunião,Estava morrendo de fome depois que a reunião acabou.,estava em fase de início após a reunião ter sido concluída a reunião,Estava esfomeado depois da reunião.,como normal,como normal,como de costume,A
5072,Ash empurrou o menino para a piscina para o que ele achava ser uma piada prática inofensiva.,Ash colocou o menino na piscina para o que ele achou ser uma brincadeira prática sem malefícios,Ash empurrou o rapaz para a piscina por aquilo que ele pensou ser uma piada inofensiva.,O que Ash vai querer fazer a seguir?,O que queremos por Ash?,O que é que o Ash vai querer fazer a seguir?,Rir do menino,risos no menino,Rindo do rapaz,Assassinar o menino,assassinato do menino,Mata o rapaz.,Tente nadar,tentar nadar,Tente nadar.,A
5073,"Kai viu confiança nos olhos de Remy, então ele manteve seu segredo como ele prometeu que faria.",Kai viu confiança nos olhos de Remy para manter seu segredo como prometeu.,"O Kai viu confiança nos olhos do Remy, por isso manteve o segredo dela como prometeu.",Por que Kai fez isso?,Por que o Kai fez isso?,Porque é que o Kai fez isto?,honre a confiança,honrar a confiança,Honrar a confiança,inteligente,smart,inteligente,Amado,amado,Amado,A
5074,Ash garantiu sua segurança depois que as crianças foram perdidas ao lado da estrada.,Ash garantiu a segurança após a perda das crianças pelo lado da estrada.,Ash garantiu a segurança deles depois que as crianças se perderam ao lado da estrada.,Como você descreveria Ash?,Como descreveria Ash?,Como descreveria o Ash?,Responsáveis,responsável,responsável,aliviado por ter ajudado,alívio que ajudou,Aliviado por ter ajudado.,insensível,calous,Cálso,A
5075,"Depois que Bailey teve relações sexuais com seu marido e peidou em seu rosto, Jan decidiu dar a Bailey outra chance.","Depois de Bailey ter feito sexo com o marido e ter sido abatida em sua face, Jan","Depois de a Bailey ter tido sexo com o marido e ter peido na cara dela, a Jan decidiu dar outra oportunidade à Bailey.",Porque é que o Jan perdoou a Bailey?,O que foi o Jan para perdoar à Bailey?,Por que é que a Jan perdoou o Bailey?,perdoou Bailey para peidar em seu marido,perdoar Bailey para o abate sobre o marido,Perdoou a Bailey por ter peido no marido.,perdoou Bailey para peidar em seu rosto,perdoar Bailey pelo abate em sua face,Perdoou a Bailey por ter-lhe peido na cara.,perdoou Bailey por fazer sexo com seu peido,perdoar Bailey por ter relações sexuais com o seu longe,Perdoou a Bailey por ter tido sexo com o peido dela.,B
5076,Sasha pagou todas as suas contas enquanto trabalhava em dois empregos.,Sasha pagou todos os seus contratos enquanto trabalhava dois empregos.,O Sasha pagava todas as contas enquanto trabalhava em dois empregos.,O que Sasha precisa fazer antes disso?,O que é necessário para que Sasha possa fazer antes disso?,O que é que o Sasha precisa de fazer antes disto?,Pare de trabalhar até mais tarde,parar de trabalhar até mais tarde,Parem de trabalhar para mais tarde.,verifique sua conta,verificar a sua contabilidade,Verifica a conta dela.,Tenha um bom crédito,ter bom crédito,ter um bom crédito,B
5077,Riley pegou o ônibus depois que a chuva começou e ela não tinha guarda-chuva.,Riley pegou o ônibus após o início da chuva e não tinha guarda-chuva.,A Riley apanhou o autocarro depois de começar a chover e não tinha guarda-chuva.,O que Riley precisa fazer antes de pegar o ônibus?,O que é que o Riley precisa fazer antes de pegar o ônibus?,O que é que a Riley precisa de fazer antes de apanhar o autocarro?,Estacione seu carro,parque seu carro,Estacione o carro dela.,Conseguir um emprego dirigindo,conseguir um emprego dirigindo,arranjar um emprego a conduzir,Preciso de uma carona em algum lugar,necessita de uma subida para outra parte,Preciso de boleia para algum lado.,C
5078,Jordan juntou os fragmentos e fixou o vidro quebrado.,Jordan fez a montagem dos fragmentos e fixou o vidro quebrado.,A Jordan juntou os fragmentos e consertou o vidro partido.,O que a Jordânia precisa fazer antes disso?,O que o Jordânia precisa fazer antes disso?,O que é que a Jordan precisa de fazer antes disto?,Sair antes disso,riz,Vai lá fora antes disto.,Faça uma festa antes disso,- se tiver uma parte antes de tomar este medicamento,Faça uma festa antes disto.,Reúna as peças antes deste,au,Reúna os pedaços antes disto .,C
5079,Cameron encheu o rosto com Botox e acontece que o procedimento deu errado.,Cameron preenche a face com Botox e o procedimento foi realizado com fio de cabelo.,A Cameron encheu o rosto com Botox e o procedimento correu mal.,Como Cameron se sentiria depois?,Como se sentiria Cameron depois?,Como se sentiria a Cameron depois?,Preocupado,Preocupação,preocupado,Perturbado,tonturas,desanimado,excitado,excitação,excitado,B
5080,Sasha trabalhou por uma hora a mais depois de um longo e árduo dia de trabalho.,Sasha trabalhou por uma hora extra após um longo e duro dia de trabalho.,Sasha trabalhou uma hora extra depois de um longo e duro dia de trabalho.,Como Sasha se sentiria depois?,Como se sentiria Sasha depois?,Como é que o Sasha se sentiria depois?,Cansado,Canina,cansado,como ambiciosos,como ambicioso,tão ambicioso,feliz,feliz,feliz,A
5081,"Remy estava falida há algum tempo, mas acabou encontrando dinheiro no setor.","Remy já havia quebrado há algum tempo, mas acabou encontrando dinheiro no setor.","A Remy estava falida há algum tempo, mas acabou por encontrar dinheiro no sector.",Como Remy se sentiria depois?,Como se sentiria depois de Remy?,Como é que o Remy se sentiria depois?,Sorte,Lucky,Sorte .,Triste,Sad,Triste .,desenvoltura,recursos,engenhoso,A
5082,"Taylor era um GP em uma pequena aldeia e conhecia todos bem, então um paciente veio parecendo muito triste Taylor sabia que precisava melhorar o humor do paciente.","Taylor era um GP em uma pequena aldeia e conhecia bem todos os outros, assim, um paciente","Taylor era médico de família numa pequena aldeia e conhecia bem toda a gente. Então, um paciente apareceu com um ar muito triste. Taylor sabia que precisavam de melhorar o humor do paciente.",O que Taylor precisa fazer antes disso?,O que é necessário para Taylor diante disso?,O que é que a Taylor precisa de fazer antes disto?,Ignorar o paciente,ignorou o paciente,Ignorou o paciente.,Não passou tempo com o paciente,não foi administrado tempo com o paciente,Não passou tempo com o paciente,Encontrou-se com o paciente,metformina com o doente,Conheceu o paciente,C
